r xi error
2.0 0.010297698082294103 0.00018441758198232069
6.0 0.0027260786910175915 5.179550489982482e-05
10.0 0.001440634761308427 3.055859069904541e-05
14.0 0.0008305578931192071 2.1135633362164605e-05
18.0 0.0005140230559806307 1.602622087452601e-05
22.0 0.000317110081481367 1.3238995664501062e-05
26.0 0.00018580818788752426 1.1273594423484805e-05
30.0 0.00010203926370797991 9.789983051168926e-06
34.0 4.2250734547312675e-05 8.526277303750745e-06
38.0 1.9353232248854652e-05 7.684124629573061e-06
42.0 -5.0944163855993625e-06 6.98855876498274e-06
46.0 -2.0639200386719384e-05 6.334797549191417e-06
50.0 -1.7391455388192057e-05 5.8316389983381106e-06
54.0 -1.2241448140723405e-05 5.406136821306421e-06
58.0 -1.0687543916092456e-05 4.985015070032005e-06
62.0 -2.194453407959906e-05 4.744093224190139e-06
66.0 -1.9196132123702204e-05 4.425356366927447e-06
70.0 -2.0240995119577306e-05 4.184463472845251e-06
74.0 -2.693663193394422e-05 3.976969334123821e-06
78.0 -1.9825303362963477e-05 3.789606443514625e-06
82.0 -1.58802524097206e-05 3.579199051061295e-06
86.0 -1.4579351415080558e-05 3.396498780627795e-06
90.0 -1.2520300827408715e-05 3.2558416831535196e-06
94.0 -5.731022252134953e-06 3.133396192434425e-06
98.0 1.497319384478443e-06 2.9941858659319674e-06
102.0 1.4901142207787884e-06 2.870336552004343e-06
106.0 -9.475229823118906e-08 2.7552852924657776e-06
110.0 -1.700014866083874e-06 2.669450406361428e-06
114.0 -2.800623722584595e-06 2.5899816663623344e-06
118.0 -7.650193879149053e-06 2.4992510080279738e-06
122.0 -4.200727124366828e-06 2.425953063095458e-06
126.0 -1.643567183382103e-06 2.3372649452399854e-06
130.0 -4.053487726296793e-06 2.2772508867822147e-06
134.0 -1.0946741953593293e-06 2.221702715071832e-06
138.0 -2.189630784322159e-06 2.1661770623587143e-06
142.0 -6.594398869935499e-06 2.1036185394030586e-06
146.0 -7.306022795456233e-06 2.043024688713925e-06
150.0 -3.46188342082462e-06 1.98872911223437e-06
154.0 -1.7950493511400206e-06 1.946814194427494e-06
158.0 -1.8907698658637788e-06 1.9067656307593895e-06
162.0 -3.0316556858677025e-06 1.860988451458013e-06
166.0 -2.876042593985595e-06 1.8268230078478221e-06
170.0 -3.56139484506952e-07 1.7907264768813193e-06
174.0 2.151285031252312e-07 1.747115596518875e-06
178.0 -2.036869571740598e-06 1.6991783576353536e-06
182.0 2.5349975943191995e-07 1.6625934321366413e-06
186.0 -4.6708931246956577e-07 1.6262928916357985e-06
190.0 -3.2534907545586695e-06 1.608410213429119e-06
194.0 -1.0227777646561234e-06 1.5747318276219056e-06
198.0 -2.2373724440271994e-06 1.627207419072584e-06
